"Inversion","Population","Imputability","Good_Geno","P_pop","P_100","P_250","P_500","Summary","Heteros"
"HsInv0098","EUR","Tagged","1","0.999583333333333","0.992416666666667","0.996916666666667","0.98975","2","1"
"HsInv0098","EAS",NA,"1","0.999","1","1","1","1","0"
"HsInv0098","ALL","Tagged","1",NA,"1","1","1","1","0"
"HsInv0098","SAS",NA,"1","0.999","1","1","1","1","0"
"HsInv0098","AFR","Tagged","1","1","1","1","1","3","1"
"HsInv0102","EUR","Imputable","1","0.999666666666667","0.996333333333333","0.993416666666667","0.99825","3","1"
"HsInv0102","EAS",NA,"1","0.999","1","1","1","1","0"
"HsInv0102","ALL","Imputable","1",NA,"1","1","1","1","0"
"HsInv0102","SAS",NA,"1","0.999","1","1","1","1","0"
"HsInv0102","AFR","Imputable","1","0.999333333333333","0.984666666666667","0.975333333333333","0.973","2","2"
"HsInv0105","EUR","Tagged","1","1","1","1","1","3","7"
"HsInv0105","EAS",NA,"1","0.999","0.999333333333333","0.997666666666667","1","1","3"
"HsInv0105","ALL","Imputable","1",NA,"1","1","0.998","1","0"
"HsInv0105","SAS",NA,"1","0.999","1","1","1","1","0"
"HsInv0105","AFR","Imputable","0.666666666666667","0.907333333333333","0.762333333333333","0.823333333333333","0.817333333333333","1","0"
"HsInv0113","EUR","Tagged","0.916666666666667","0.9325","0.999416666666667","0.999416666666667","0.997166666666667","2","1"
"HsInv0113","EAS",NA,"1","0.997","1","1","1","1","0"
"HsInv0113","ALL","Tagged","1",NA,"1","1","1","1","0"
"HsInv0113","SAS",NA,NA,NA,"1","1","1","0","0"
"HsInv0113","AFR","Tagged","0.666666666666667","0.97","0.834333333333333","0.829333333333333","0.808666666666667","2","1"
"HsInv0114","EUR","Imputable","0.916666666666667","0.90375","0.92975","0.961166666666667","0.954083333333333","3","4"
"HsInv0114","EAS",NA,"1","0.999","1","1","0.999","1","0"
"HsInv0114","ALL","Imputable","1",NA,"1","0.984","0.996","1","1"
"HsInv0114","SAS",NA,"1","0.999","1","1","1","1","0"
"HsInv0114","AFR","Imputable","0.666666666666667","0.842333333333333","0.872","0.882333333333333","0.864333333333333","1","0"
"HsInv0124","EUR","Imputable","1","0.983666666666667","0.979","0.975916666666667","0.986333333333333","3","3"
"HsInv0124","EAS",NA,"1","0.998","0.998666666666667","0.999333333333333","0.995","1","0"
"HsInv0124","ALL","Imputable","1",NA,"0.998","0.994","0.969","1","0"
"HsInv0124","SAS",NA,"1","0.872","0.882","0.762","0.692","1","1"
"HsInv0124","AFR","Imputable","1","0.79","0.945","0.982333333333333","0.878","2","1"
"HsInv0141","EUR","Tagged","0.916666666666667","0.979666666666667","0.958166666666667","0.966166666666667","0.975","1","0"
"HsInv0141","EAS",NA,"1","0.997","0.933666666666667","0.998333333333333","0.969","1","0"
"HsInv0141","ALL","Tagged","1",NA,"1","1","0.999","1","0"
"HsInv0141","SAS",NA,NA,NA,"1","1","1","0","0"
"HsInv0141","AFR","Tagged","1","0.956666666666667","0.929","0.946666666666667","0.958666666666667","2","1"
"HsInv0147","EUR","Tagged","1","0.969","0.95525","0.952583333333333","0.949666666666667","1","0"
"HsInv0147","EAS",NA,"1","0.996","0.998","0.995666666666667","0.996","1","0"
"HsInv0147","ALL","Tagged","1",NA,"0.999","0.998","0.999","1","0"
"HsInv0147","SAS",NA,NA,NA,"0.984","0.926","0.942","0","0"
"HsInv0147","AFR","Tagged","1","0.971666666666667","0.976666666666667","0.990333333333333","0.997333333333333","2","1"
"HsInv0156","EUR","Tagged","1","0.973833333333333","0.998","0.994583333333333","0.988083333333333","2","1"
"HsInv0156","EAS",NA,"1","0.964","0.993666666666667","0.998666666666667","0.989666666666667","2","1"
"HsInv0156","ALL","Tagged","1",NA,"1","1","0.999","1","0"
"HsInv0156","SAS",NA,NA,NA,"1","1","0.998","0","0"
"HsInv0156","AFR","Tagged","0.333333333333333","0.694333333333333","0.715333333333333","0.708","0.735666666666667","1","0"
"HsInv0163","EUR","Tagged","1","0.990083333333333","0.998333333333333","0.996416666666667","0.997083333333333","1","0"
"HsInv0163","EAS",NA,"1","0.995666666666667","1","0.997666666666667","1","2","0"
"HsInv0163","ALL","Tagged","1",NA,"1","1","1","1","0"
"HsInv0163","SAS",NA,NA,NA,"1","1","1","0","0"
"HsInv0163","AFR","Tagged","1","0.998","1","1","0.999666666666667","2","2"
"HsInv0174","EUR","Tagged","1","0.997","1","1","1","3","4"
"HsInv0174","EAS",NA,"1","0.997","1","1","1","2","1"
"HsInv0174","ALL","Tagged","1",NA,"1","1","1","1","0"
"HsInv0174","SAS",NA,NA,NA,"1","1","1","0","0"
"HsInv0174","AFR","Tagged","1","0.996","1","1","1","2","2"
"HsInv0181","EUR","Tagged","1","0.966083333333333","0.95975","0.971","0.971083333333333","3","6"
"HsInv0181","EAS",NA,"1","0.845666666666667","0.932333333333333","0.952666666666667","0.923","3","1"
"HsInv0181","ALL","Tagged","1",NA,"0.999","0.999","0.999","1","1"
"HsInv0181","SAS",NA,NA,NA,"0.999","0.977","0.999","0","0"
"HsInv0181","AFR","Tagged","1","0.992666666666667","0.994333333333333","0.991","0.978","3","1"
"HsInv0191","EUR","Tagged","0.916666666666667","0.967583333333333","0.999833333333333","0.99975","0.999333333333333","2","4"
"HsInv0191","EAS",NA,"1","0.996666666666667","1","1","0.999666666666667","2","2"
"HsInv0191","ALL","Tagged","1",NA,"1","1","1","1","0"
"HsInv0191","SAS",NA,NA,NA,"1","1","1","0","0"
"HsInv0191","AFR","Tagged","1","0.996","0.999333333333333","0.999","0.999333333333333","2","0"
"HsInv0193","EUR","Tagged","1","0.994666666666667","0.99375","0.994","0.999166666666667","3","5"
"HsInv0193","EAS",NA,"1","0.981333333333333","0.994","0.992666666666667","0.995333333333333","2","1"
"HsInv0193","ALL","Tagged","1",NA,"0.945","0.996","0.996","1","1"
"HsInv0193","SAS",NA,NA,NA,"1","1","1","0","0"
"HsInv0193","AFR","Tagged","1","0.883333333333333","0.999","0.999666666666667","0.999666666666667","3","1"
"HsInv0201","EUR","Tagged","1","1","1","0.9975","0.99675","3","6"
"HsInv0201","EAS",NA,"1","0.999","0.998333333333333","0.984333333333333","0.999333333333333","2","2"
"HsInv0201","ALL","Tagged","1",NA,"1","1","1","1","0"
"HsInv0201","SAS",NA,"1","0.999","1","1","1","1","0"
"HsInv0201","AFR","Tagged","1","1","1","1","1","2","1"
"HsInv0209","EUR","Tagged","1","0.999583333333333","0.998833333333333","0.9975","0.999","1","0"
"HsInv0209","EAS",NA,"1","0.995333333333333","0.998","0.998666666666667","0.998666666666667","1","0"
"HsInv0209","ALL","Imputable","1",NA,"0.993","0.981","0.99","1","1"
"HsInv0209","SAS",NA,"1","0.999","1","1","1","1","0"
"HsInv0209","AFR","Imputable","1","0.993666666666667","0.938","0.954666666666667","0.989","2","1"
"HsInv0212","EUR","Tagged","1","0.993666666666667","0.97375","0.988416666666667","0.984166666666667","2","2"
"HsInv0212","EAS",NA,"1","0.997","0.999666666666667","1","1","2","1"
"HsInv0212","ALL","Tagged","1",NA,"1","1","1","1","0"
"HsInv0212","SAS",NA,NA,NA,"1","1","1","0","0"
"HsInv0212","AFR","Tagged","0.333333333333333","0.717666666666667","0.886333333333333","0.929","0.938","1","0"
"HsInv0228","EUR","No_Imputable","0.5","0.671333333333333","0.608583333333333","0.620666666666667","0.633166666666667","2","3"
"HsInv0228","EAS",NA,"0.333333333333333","0.716333333333333","0.637","0.743","0.652666666666667","1","1"
"HsInv0228","ALL","No_Imputable","1",NA,"0.56","0.523","0.493","1","1"
"HsInv0228","SAS",NA,NA,NA,"0.509","0.498","0.535","0","0"
"HsInv0228","AFR","No_Imputable","0.666666666666667","0.763333333333333","0.555333333333333","0.513666666666667","0.506","2","1"
"HsInv0239","EUR","No_Imputable","1","0.933833333333333","0.913916666666667","0.914083333333333","0.912416666666667","1","0"
"HsInv0239","EAS",NA,"1","0.931666666666667","0.891666666666667","0.889333333333333","0.892333333333333","1","0"
"HsInv0239","ALL","No_Imputable","1",NA,"0.82","0.824","0.824","1","0"
"HsInv0239","SAS",NA,NA,NA,"0.958","0.952","0.948","0","0"
"HsInv0239","AFR","No_Imputable","1","0.562","0.8","0.773333333333333","0.801333333333333","1","0"
"HsInv0241","EUR","No_Imputable","1","0.969416666666667","0.918","0.958416666666667","0.95225","1","0"
"HsInv0241","EAS",NA,"1","0.866","0.892","0.883666666666667","0.901","3","1"
"HsInv0241","ALL","No_Imputable","1",NA,"0.937","1","1","1","1"
"HsInv0241","SAS",NA,"1","0.887","0.717","0.878","0.728","1","0"
"HsInv0241","AFR","Imputable","0.666666666666667","0.701","0.749","0.757","0.72","1","2"
"HsInv0260","EUR","Tagged","1","1","1","1","1","2","4"
"HsInv0260","EAS",NA,"1","0.984","1","0.999","1","2","1"
"HsInv0260","ALL","Tagged","1",NA,"0.763","0.905","0.892","1","0"
"HsInv0260","SAS",NA,"1","0.981","0.998","1","0.982","1","1"
"HsInv0260","AFR","Tagged","1","1","0.984","0.999333333333333","0.996","1","0"
"HsInv0266","EUR","Imputable","1","0.970916666666667","0.938333333333333","0.95475","0.936916666666667","3","3"
"HsInv0266","EAS",NA,"1","0.975","0.956666666666667","0.956","0.927","2","1"
"HsInv0266","ALL","Imputable","1",NA,"0.997","0.997","0.993","1","0"
"HsInv0266","SAS",NA,"1","0.937","0.999","0.933","0.925","1","0"
"HsInv0266","AFR","Imputable","1","0.840666666666667","0.975666666666667","0.979","0.977333333333333","2","0"
"HsInv0278","EUR","No_Imputable","0.916666666666667","0.91275","0.88125","0.8745","0.89575","2","1"
"HsInv0278","EAS",NA,"0.333333333333333","0.52","0.664666666666667","0.702333333333333","0.612","1","0"
"HsInv0278","ALL","No_Imputable","1",NA,"0.816","0.719","0.704","1","0"
"HsInv0278","SAS",NA,"1","0.969","0.943","0.917","0.949","1","0"
"HsInv0278","AFR","No_Imputable","0.333333333333333","0.662","0.679","0.673666666666667","0.682333333333333","1","0"
"HsInv0284","EUR","No_Polymorphic","1","1","1","1","1","1","0"
"HsInv0284","EAS",NA,"1","0.999","1","1","1","1","0"
"HsInv0284","ALL","Tagged","1",NA,"0.95","0.839","0.85","1","0"
"HsInv0284","SAS",NA,"1","0.999","1","1","1","1","0"
"HsInv0284","AFR","Tagged","1","1","0.989","0.991","0.983333333333333","1","0"
"HsInv0286","EUR","Tagged","1","0.998583333333333","0.99975","1","1","3","4"
"HsInv0286","EAS",NA,"0.666666666666667","0.834","0.679666666666667","0.714333333333333","0.736666666666667","2","1"
"HsInv0286","ALL","Imputable","1",NA,"0.912","0.891","0.916","1","1"
"HsInv0286","SAS",NA,NA,NA,"0.995","1","1","0","0"
"HsInv0286","AFR","Imputable","1","0.981333333333333","0.966666666666667","0.986","0.978","3","1"
"HsInv0290","EUR","Tagged","0.916666666666667","0.931166666666667","0.958","0.924666666666667","0.960333333333333","2","1"
"HsInv0290","EAS",NA,"1","0.942333333333333","0.887","0.912666666666667","0.938","1","0"
"HsInv0290","ALL","No_Imputable","1",NA,"0.999","0.999","0.998","1","0"
"HsInv0290","SAS",NA,NA,NA,"0.976","0.957","0.909","0","0"
"HsInv0290","AFR","No_Imputable","0.666666666666667","0.818333333333333","0.956","0.852","0.791333333333333","1","0"
"HsInv0325","EUR","Imputable","1","1","0.998166666666667","0.997916666666667","0.995","3","6"
"HsInv0325","EAS",NA,"0.666666666666667","0.848","0.902666666666667","0.949666666666667","0.942666666666667","2","1"
"HsInv0325","ALL","Imputable","1",NA,"1","1","1","1","1"
"HsInv0325","SAS",NA,NA,NA,"1","1","1","0","0"
"HsInv0325","AFR","Imputable","1","0.993333333333333","0.965333333333333","0.981333333333333","0.941333333333333","2","1"
"HsInv0340","EUR","Tagged","1","0.999583333333333","0.9835","0.9805","0.980166666666667","1","0"
"HsInv0340","EAS",NA,"1","0.999","1","0.996","0.986333333333333","1","0"
"HsInv0340","ALL","No_Imputable",NA,NA,"0.826","0.539","0.636","0","0"
"HsInv0340","SAS",NA,"1","0.999","1","1","0.991","1","0"
"HsInv0340","AFR","No_Imputable","0.666666666666667","0.966666666666667","0.918","0.879666666666667","0.896","2","0"
"HsInv0341","EUR","No_Imputable","0.916666666666667","0.936916666666667","0.94575","0.9495","0.945416666666667","1","0"
"HsInv0341","EAS",NA,"1","0.970333333333333","0.998666666666667","0.999333333333333","0.999333333333333","1","0"
"HsInv0341","ALL","No_Imputable","1",NA,"0.942","0.981","0.935","1","0"
"HsInv0341","SAS",NA,"1","0.988","0.98","0.977","0.952","1","0"
"HsInv0341","AFR","Imputable","1","1","0.962","0.999","0.999666666666667","1","0"
"HsInv0344","EUR","No_Imputable","1","0.83825","0.864166666666667","0.847","0.836583333333333","3","8"
"HsInv0344","EAS",NA,"0.666666666666667","0.823","0.830333333333333","0.818","0.839666666666667","2","1"
"HsInv0344","ALL","No_Imputable","1",NA,"0.971","0.991","0.959","1","0"
"HsInv0344","SAS",NA,"1","0.586","0.692","0.719","0.759","1","1"
"HsInv0344","AFR","No_Imputable","0.666666666666667","0.716333333333333","0.766333333333333","0.739333333333333","0.685666666666667","1","0"
"HsInv0347","EUR","Imputable","1","0.997833333333333","0.974083333333333","0.994833333333333","0.985583333333333","2","3"
"HsInv0347","EAS",NA,"1","0.983666666666667","1","0.999","0.972","1","0"
"HsInv0347","ALL","Imputable","1",NA,"0.965","1","0.983","1","0"
"HsInv0347","SAS",NA,"1","0.999","1","1","1","1","1"
"HsInv0347","AFR","Imputable","1","0.89","0.917666666666667","0.815333333333333","0.812666666666667","2","2"
"HsInv0370nd","EUR","No_Imputable","1","0.997","1","1","1","1","0"
"HsInv0370nd","EAS",NA,"1","0.997","1","1","1","1","0"
"HsInv0370nd","ALL","No_Imputable","1",NA,"1","1","1","1","0"
"HsInv0370nd","SAS",NA,NA,NA,"1","1","1","0","0"
"HsInv0370nd","AFR","No_Imputable","1","0.860333333333333","0.879666666666667","0.886","0.894666666666667","1","0"
"HsInv0370si","EUR","No_Imputable","0.416666666666667","0.915083333333333","0.845083333333333","0.850583333333333","0.88825","2","1"
"HsInv0370si","EAS",NA,"1","0.668","0.896","0.912","0.957666666666667","2","1"
"HsInv0370si","ALL","No_Imputable","1",NA,"0.956","0.949","0.999","1","1"
"HsInv0370si","SAS",NA,NA,NA,"0.999","0.999","1","0","0"
"HsInv0370si","AFR","No_Imputable","0.666666666666667","0.749666666666667","0.72","0.838333333333333","0.833","2","1"
"HsInv0371","EUR","No_Imputable","1","0.943916666666667","0.94275","0.946083333333333","0.935916666666667","2","1"
"HsInv0371","EAS",NA,"1","0.974","0.836333333333333","0.811","0.77","1","0"
"HsInv0371","ALL","No_Imputable","1",NA,"0.933","0.927","0.699","1","0"
"HsInv0371","SAS",NA,NA,NA,"0.95","0.911","0.973","0","0"
"HsInv0371","AFR","Imputable","1","0.986","0.905333333333333","0.869","0.91","2","1"
"HsInv0374","EUR","No_Imputable","0.75","0.76675","0.83225","0.835416666666667","0.853666666666667","3","1"
"HsInv0374","EAS",NA,"0.666666666666667","0.914","0.761333333333333","0.701","0.796333333333333","1","0"
"HsInv0374","ALL","No_Imputable",NA,NA,"0.49","0.592","0.527","0","0"
"HsInv0374","SAS",NA,"1","0.957","0.932","0.826","0.841","1","0"
"HsInv0374","AFR","No_Imputable","1","0.896666666666667","0.807","0.809","0.770333333333333","2","2"
"HsInv0379","EUR","No_Polymorphic","1","1","0.99825","0.998166666666667","0.996166666666667","1","0"
"HsInv0379","EAS",NA,"1","0.996666666666667","0.99","1","1","1","0"
"HsInv0379","ALL","No_Polymorphic","1",NA,"0.995","1","0.998","1","0"
"HsInv0379","SAS",NA,"1","0.999","1","1","1","1","0"
"HsInv0379","AFR","No_Polymorphic","1","1","0.985666666666667","0.981","0.988666666666667","1","0"
"HsInv0382","EUR","No_Imputable","0.583333333333333","0.54875","0.654833333333333","0.653833333333333","0.645333333333333","2","5"
"HsInv0382","EAS",NA,"0.666666666666667","0.823333333333333","0.755","0.742","0.728666666666667","1","0"
"HsInv0382","ALL","No_Imputable","1",NA,"0.932","0.943","0.942","1","0"
"HsInv0382","SAS",NA,NA,NA,"0.453","0.447","0.46","0","0"
"HsInv0382","AFR","No_Imputable","0.666666666666667","0.693666666666667","0.736","0.737333333333333","0.766666666666667","2","1"
"HsInv0442","EUR","Tagged","1","0.997","1","1","1","2","2"
"HsInv0442","EAS",NA,"1","0.997","1","1","1","2","1"
"HsInv0442","ALL","Tagged","1",NA,"1","1","1","1","0"
"HsInv0442","SAS",NA,NA,NA,"1","1","1","0","0"
"HsInv0442","AFR","Tagged","1","0.987666666666667","1","1","1","2","2"
"HsInv0486","EUR","No_Polymorphic","1","1","1","1","1","1","0"
"HsInv0486","EAS",NA,"1","0.998","1","1","1","1","0"
"HsInv0486","ALL","No_Polymorphic","1",NA,"1","1","1","1","0"
"HsInv0486","SAS",NA,NA,NA,"1","1","1","0","0"
"HsInv0486","AFR","No_Polymorphic","1","0.998","1","1","1","1","0"
"HsInv0573","EUR","Tagged","0.916666666666667","0.674416666666667","0.823583333333333","0.800916666666667","0.762083333333333","1","0"
"HsInv0573","EAS",NA,"1","0.996","0.860333333333333","0.899666666666667","0.924333333333333","1","0"
"HsInv0573","ALL","Tagged","1",NA,"0.943","0.922","0.934","1","0"
"HsInv0573","SAS",NA,NA,NA,"0.796","0.761","0.755","0","0"
"HsInv0573","AFR","No_Polymorphic","1","0.996","0.820666666666667","0.842","0.827666666666667","1","0"
"HsInv0626","EUR","No_Imputable","1","0.9945","0.99975","0.999666666666667","0.998916666666667","1","0"
"HsInv0626","EAS",NA,"1","0.998666666666667","0.996","1","0.993333333333333","1","0"
"HsInv0626","ALL","No_Imputable","1",NA,"1","0.997","0.998","1","0"
"HsInv0626","SAS",NA,"1","0.999","1","1","1","1","0"
"HsInv0626","AFR","No_Imputable","1","0.981666666666667","0.965333333333333","0.97","0.986666666666667","1","0"
"HsInv0786","EUR","Tagged","0.916666666666667","0.969666666666667","0.972083333333333","0.969833333333333","0.97125","2","4"
