"Inversion","Population","Imputability","Good_Geno","P_pop","P_100","P_250","P_500","Summary","Heteros"
"HsInv0174","ALL","Tagged","1",NA,"1","1","1","1","0"
"HsInv0174","EUR","Tagged","1","0.99575","1","1","1","3","4"
"HsInv0174","SAS",NA,NA,NA,"1","1","1","0","0"
"HsInv0181","EAS",NA,"1","0.878666666666667","0.939666666666667","0.898","0.936","3","1"
"HsInv0181","AFR","Tagged","1","0.989666666666667","0.988","0.982666666666667","0.987666666666667","3","1"
"HsInv0181","ALL","Tagged","1",NA,"0.996","0.997","0.999","1","1"
"HsInv0181","EUR","Tagged","0.916666666666667","0.96275","0.947583333333333","0.960083333333333","0.966416666666667","3","5"
"HsInv0181","SAS",NA,NA,NA,"0.987","0.999","0.999","0","0"
"HsInv0191","EAS",NA,"1","0.996666666666667","1","0.999666666666667","1","2","2"
"HsInv0191","AFR","Tagged","1","0.996","1","0.999333333333333","0.999333333333333","2","0"
"HsInv0191","ALL","Tagged","1",NA,"1","1","1","1","0"
"HsInv0191","EUR","Tagged","0.833333333333333","0.9835","0.999833333333333","0.999833333333333","0.999833333333333","2","3"
"HsInv0191","SAS",NA,NA,NA,"1","1","1","0","0"
"HsInv0193","EAS",NA,"1","0.985666666666667","0.994","0.985333333333333","0.992","2","1"
"HsInv0193","AFR","Tagged","1","0.961","0.999666666666667","0.999666666666667","0.991","3","1"
"HsInv0193","ALL","Tagged","1",NA,"1","0.996","1","1","1"
"HsInv0193","EUR","Tagged","0.833333333333333","0.9065","0.998833333333333","0.994083333333333","0.99525","2","4"
"HsInv0193","SAS",NA,NA,NA,"1","1","1","0","0"
"HsInv0201","EAS",NA,"1","0.999","1","0.973","1","2","2"
"HsInv0201","AFR","Tagged","1","1","1","1","1","2","1"
"HsInv0201","ALL","Tagged","1",NA,"1","1","1","1","0"
"HsInv0201","EUR","Tagged","1","1","1","1","0.998666666666667","3","6"
"HsInv0201","SAS",NA,"1","0.999","1","1","1","1","0"
"HsInv0209","EAS",NA,"1","0.999","0.987","0.993333333333333","1","1","0"
"HsInv0209","AFR","Imputable","1","0.984666666666667","0.931333333333333","0.954333333333333","0.951333333333333","2","1"
"HsInv0209","ALL","Imputable","1",NA,"0.95","0.98","0.992","1","1"
"HsInv0209","EUR","Tagged","1","0.997333333333333","1","0.9995","0.999666666666667","1","0"
"HsInv0209","SAS",NA,"1","0.999","1","1","1","1","0"
"HsInv0212","EAS",NA,"1","0.996666666666667","1","1","1","2","1"
"HsInv0212","AFR","Tagged","0.333333333333333","0.898333333333333","0.824","0.886666666666667","0.828666666666667","1","0"
"HsInv0212","ALL","Tagged","1",NA,"1","0.999","0.999","1","0"
"HsInv0212","EUR","Tagged","1","0.97825","0.984333333333333","0.983333333333333","0.964583333333333","2","2"
"HsInv0212","SAS",NA,NA,NA,"1","1","1","0","0"
"HsInv0228","EAS",NA,"0.666666666666667","0.660666666666667","0.669333333333333","0.689","0.68","2","1"
"HsInv0228","AFR","No_Imputable","0.333333333333333","0.695333333333333","0.523333333333333","0.486","0.522333333333333","1","1"
"HsInv0228","ALL","No_Imputable","1",NA,"0.528","0.508","0.496","1","1"
"HsInv0228","EUR","No_Imputable","0.416666666666667","0.65","0.633","0.585","0.633833333333333","2","3"
"HsInv0228","SAS",NA,NA,NA,"0.483","0.513","0.542","0","0"
"HsInv0239","EAS",NA,"1","0.935","0.895333333333333","0.891666666666667","0.886333333333333","1","0"
"HsInv0239","AFR","No_Imputable","1","0.562","0.808","0.808666666666667","0.797666666666667","1","0"
"HsInv0239","ALL","No_Imputable","1",NA,"0.824","0.82","0.825","1","0"
"HsInv0239","EUR","No_Imputable","1","0.931166666666667","0.919083333333333","0.916833333333333","0.911333333333333","1","0"
"HsInv0239","SAS",NA,NA,NA,"0.958","0.954","0.95","0","0"
"HsInv0241","EAS",NA,"1","0.925333333333333","0.851666666666667","0.862333333333333","0.836666666666667","3","1"
"HsInv0241","AFR","Imputable","0.666666666666667","0.696","0.781333333333333","0.763333333333333","0.751666666666667","1","2"
"HsInv0241","ALL","No_Imputable","1",NA,"1","0.975","0.984","1","1"
"HsInv0241","EUR","No_Imputable","1","0.975833333333333","0.943916666666667","0.939166666666667","0.933833333333333","1","0"
"HsInv0241","SAS",NA,NA,"0.542","0.727","0.686","0.792","0","0"
"HsInv0260","EAS",NA,"1","0.999","1","1","1","2","1"
"HsInv0260","AFR","Tagged","1","1","0.974","0.997","1","1","0"
"HsInv0260","ALL","Tagged","1",NA,"0.644","0.863","0.83","1","0"
"HsInv0260","EUR","Tagged","1","0.998416666666667","0.9985","1","1","2","4"
"HsInv0260","SAS",NA,"1","0.98","1","1","1","1","1"
"HsInv0266","EAS",NA,"1","0.94","0.955333333333333","0.976333333333333","0.934666666666667","2","1"
"HsInv0266","AFR","Imputable","1","0.849333333333333","0.940333333333333","0.977666666666667","0.960666666666667","2","0"
"HsInv0266","ALL","Imputable","1",NA,"0.947","0.998","0.997","1","0"
"HsInv0266","EUR","Imputable","1","0.96925","0.957333333333333","0.966833333333333","0.9655","3","3"
"HsInv0266","SAS",NA,"1","0.965","0.96","0.953","0.941","1","0"
"HsInv0278","EAS",NA,"0.333333333333333","0.608","0.696666666666667","0.625333333333333","0.636333333333333","1","0"
"HsInv0278","AFR","No_Imputable","0.333333333333333","0.691","0.626666666666667","0.634","0.669666666666667","1","0"
"HsInv0278","ALL","No_Imputable","1",NA,"0.698","0.618","0.619","1","0"
"HsInv0278","EUR","No_Imputable","0.916666666666667","0.901666666666667","0.86775","0.889916666666667","0.895","2","1"
"HsInv0278","SAS",NA,"1","0.977","0.928","0.927","0.847","1","0"
"HsInv0284","EAS",NA,"1","0.999","1","1","1","1","0"
"HsInv0284","AFR","Tagged","1","1","0.999333333333333","1","0.995","1","0"
"HsInv0284","ALL","Tagged","1",NA,"0.797","0.898","0.917","1","0"
"HsInv0284","EUR","No_Polymorphic","1","1","1","1","1","1","0"
"HsInv0284","SAS",NA,"1","0.999","1","1","1","1","0"
"HsInv0286","EAS",NA,"0.666666666666667","0.857333333333333","0.725","0.721","0.725","2","1"
"HsInv0286","AFR","Imputable","1","0.984666666666667","0.942","0.980333333333333","0.984333333333333","3","1"
"HsInv0286","ALL","Imputable","1",NA,"0.874","0.834","0.925","1","1"
"HsInv0286","EUR","Tagged","1","1","1","1","0.999833333333333","3","4"
"HsInv0286","SAS",NA,NA,NA,"1","1","1","0","0"
"HsInv0290","EAS",NA,"1","0.935333333333333","0.858666666666667","0.879","0.843","1","0"
"HsInv0290","AFR","No_Imputable","0.666666666666667","0.859","0.868","0.84","0.878","1","0"
"HsInv0290","ALL","No_Imputable","1",NA,"0.998","0.999","0.998","1","0"
"HsInv0290","EUR","Tagged","1","0.9955","0.895916666666667","0.973833333333333","0.97025","2","2"
"HsInv0290","SAS",NA,NA,NA,"0.979","0.969","0.978","0","0"
"HsInv0325","EAS",NA,"0.666666666666667","0.835333333333333","0.968","0.917666666666667","0.979666666666667","2","1"
"HsInv0325","AFR","Imputable","1","0.993","0.992666666666667","0.975666666666667","0.987666666666667","2","1"
"HsInv0325","ALL","Imputable","1",NA,"1","1","1","1","1"
"HsInv0325","EUR","Imputable","1","1","0.999333333333333","0.996","0.997166666666667","3","6"
"HsInv0325","SAS",NA,NA,NA,"1","1","1","0","0"
"HsInv0340","EAS",NA,"1","0.999","0.999","0.993","0.98","1","0"
"HsInv0340","AFR","No_Imputable","0.666666666666667","0.969333333333333","0.902333333333333","0.905333333333333","0.914","2","0"
"HsInv0340","ALL","No_Imputable",NA,NA,"0.941","0.605","0.51","0","0"
"HsInv0340","EUR","Tagged","1","0.999","0.988666666666667","0.983666666666667","0.989916666666667","1","0"
"HsInv0340","SAS",NA,"1","0.992","1","1","0.97","1","0"
"HsInv0341","EAS",NA,"1","0.958666666666667","0.997","0.998666666666667","0.981333333333333","1","0"
"HsInv0341","AFR","Imputable","1","0.989666666666667","0.977333333333333","0.985","0.986666666666667","1","0"
"HsInv0341","ALL","No_Imputable","1",NA,"0.748","0.899","0.846","1","0"
"HsInv0341","EUR","No_Imputable","0.916666666666667","0.937666666666667","0.9545","0.962083333333333","0.954916666666667","1","0"
"HsInv0341","SAS",NA,"1","0.997","0.972","0.998","0.997","1","0"
"HsInv0344","EAS",NA,"1","0.805666666666667","0.814333333333333","0.884333333333333","0.834666666666667","3","1"
"HsInv0344","AFR","No_Imputable","0.666666666666667","0.737333333333333","0.797666666666667","0.748","0.768666666666667","1","0"
"HsInv0344","ALL","No_Imputable","1",NA,"0.977","0.961","0.992","1","0"
"HsInv0344","EUR","No_Imputable","0.833333333333333","0.86575","0.839666666666667","0.853166666666667","0.822333333333333","3","7"
"HsInv0344","SAS",NA,NA,"0.496","0.636","0.704","0.604","0","0"
"HsInv0347","EAS",NA,"1","0.994","0.98","0.970666666666667","0.979","1","0"
"HsInv0347","AFR","Imputable","0.666666666666667","0.871","0.941333333333333","0.825","0.610666666666667","2","1"
"HsInv0347","ALL","Imputable","1",NA,"1","1","1","1","0"
"HsInv0347","EUR","Imputable","1","0.99925","0.983083333333333","0.980083333333333","0.995333333333333","2","3"
"HsInv0347","SAS",NA,"1","0.999","1","1","1","1","1"
"HsInv0370id","EAS",NA,NA,NA,"0.921666666666667","0.929","0.931333333333333","0","0"
"HsInv0370id","AFR",NA,"1","0.829","0.771333333333333","0.804333333333333","0.826","1","0"
"HsInv0370id","ALL",NA,"1",NA,"0.971","0.973","0.97","1","0"
"HsInv0370id","EUR",NA,NA,NA,"0.941833333333333","0.90325","0.922916666666667","0","0"
"HsInv0370id","SAS",NA,NA,NA,"0.973","0.973","0.973","0","0"
"HsInv0370sd","EAS",NA,"1","0.996","0.999","0.999","0.999","1","0"
"HsInv0370sd","AFR",NA,"1","0.992","0.999","0.999","0.999","1","0"
"HsInv0370sd","ALL",NA,"1",NA,"0.999","0.999","0.999","1","0"
"HsInv0370sd","EUR",NA,"1","0.996","0.999","0.999","0.999","1","0"
"HsInv0370sd","SAS",NA,NA,NA,"0.999","0.999","0.999","0","0"
"HsInv0370si","EAS",NA,"0.333333333333333","0.671","0.844","0.887666666666667","0.910666666666667","1","1"
"HsInv0370si","AFR","No_Imputable","1","0.776666666666667","0.764333333333333","0.832333333333333","0.878333333333333","2","2"
"HsInv0370si","ALL","No_Imputable","1",NA,"0.949","0.962","0.974","1","1"
"HsInv0370si","EUR","No_Imputable","0.416666666666667","0.856666666666667","0.856333333333333","0.848666666666667","0.84975","2","1"
"HsInv0370si","SAS",NA,NA,NA,"1","0.994","0.993","0","0"
"HsInv0371","EAS",NA,"1","0.973","0.768","0.875","0.87","1","0"
"HsInv0371","AFR","Imputable","1","0.992","0.935","0.937333333333333","0.864","2","1"
"HsInv0371","ALL","No_Imputable","1",NA,"0.962","0.702","0.795","1","0"
"HsInv0371","EUR","No_Imputable","0.916666666666667","0.93875","0.95625","0.95125","0.9375","1","0"
"HsInv0371","SAS",NA,NA,NA,"0.88","0.968","0.963","0","0"
"HsInv0374","EAS",NA,"0.666666666666667","0.863","0.756666666666667","0.726","0.745666666666667","2","1"
"HsInv0374","AFR","No_Imputable","0.666666666666667","0.921666666666667","0.762666666666667","0.792","0.794666666666667","2","1"
"HsInv0374","ALL","No_Imputable",NA,NA,"0.461","0.495","0.535","0","0"
"HsInv0374","EUR","No_Imputable","0.75","0.785","0.81275","0.839416666666667","0.861833333333333","3","1"
"HsInv0374","SAS",NA,"1","0.977","0.892","0.843","0.75","1","0"
"HsInv0379","EAS",NA,"1","0.996","1","1","0.999333333333333","1","0"
"HsInv0379","AFR","No_Polymorphic","1","1","0.996666666666667","0.981","0.994","1","0"
"HsInv0379","ALL","No_Polymorphic","1",NA,"0.996","1","1","1","0"
"HsInv0379","EUR","No_Polymorphic","1","1","0.998666666666667","0.998416666666667","0.99925","1","0"
"HsInv0379","SAS",NA,"1","0.999","1","1","1","1","0"
"HsInv0382","EAS",NA,"0.666666666666667","0.808","0.728","0.734","0.732333333333333","1","0"
"HsInv0382","AFR","No_Imputable","0.666666666666667","0.697","0.766666666666667","0.739333333333333","0.746666666666667","2","1"
"HsInv0382","ALL","No_Imputable","1",NA,"0.958","0.943","0.943","1","0"
"HsInv0382","EUR","No_Imputable","0.583333333333333","0.547833333333333","0.661333333333333","0.653083333333333","0.651166666666667","2","5"
"HsInv0382","SAS",NA,NA,NA,"0.465","0.455","0.457","0","0"
"HsInv0442","EAS",NA,"1","0.997","1","1","1","2","1"
"HsInv0442","AFR","Tagged","1","0.996","1","1","1","2","2"
"HsInv0442","ALL","Tagged","1",NA,"1","1","1","1","0"
"HsInv0442","EUR","Tagged","1","0.997","1","1","1","2","2"
"HsInv0442","SAS",NA,NA,NA,"1","1","1","0","0"
"HsInv0486","EAS",NA,"1","0.998","1","1","1","1","0"
"HsInv0486","AFR","No_Polymorphic","1","0.998","1","1","1","1","0"
"HsInv0486","ALL","No_Polymorphic","1",NA,"1","1","1","1","0"
"HsInv0486","EUR","No_Polymorphic","1","1","1","1","1","1","0"
"HsInv0486","SAS",NA,NA,NA,"1","1","1","0","0"
"HsInv0573","EAS",NA,"1","0.996","0.869666666666667","0.911333333333333","0.873666666666667","1","0"
"HsInv0573","AFR","No_Polymorphic","1","0.996","0.815","0.822","0.878","1","0"
